Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C7",1005,4,100n,C1525
"C11, C12",1005,2,15p,C1548
"C13, C14, C9",1005,3,10u,C15525
"C3, C4, C5, C8, L1",1005,5,2u2,C12530
C6,1005,1,1n,C1523
"D1, D4",201,2,green,C9900004010
D2,201,1,RED,C2286
D3,D_SOD-123F,1,MBR1020VL,C49231015
D5,1005,1,D,C94366
Q1,SOT-523,1,DMG1012T,C2830301
"R1, R2",1005,2,27,C25100
"R10, R11, R5",1005,3,100k,C22369186
R12,1005,1,5k6,C174239
R13,1005,1,10k,C173683
"R14, R15",1005,2,5.1,C25128
R16,1005,1,2.2k,C11508
"R17, R18",1005,2,470,C174152
R3,1005,1,1,C22369188
R4,1005,1,200,C173573
R6,1005,1,200k,C22369193
"R7, R8",1005,2,1k,C173697
R9,1005,1,470r,C174152
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,C72443
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVE,C2456297
U3,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63031DSK,C15516
U4,SOT-23-5,1,MCP73831-2-OT,C14879 
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,12MHz,C295065
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2927037
