Designator,Mid X,Mid Y,Rotation,Layer
C1,77.389165,-72.95,180,top
C10,70.364165,-103.2,270,top
C11,77.544165,-86.825,225,top
C12,78.389165,-97.725,0,top
C13,66.989165,-87.75,180,top
C14,72.192737,-77.85,180,top
C2,80.214165,-86.375,315,top
C3,70.887388,-79.176777,45,top
C4,66.989165,-87.15,180,top
C5,72.964165,-77.175,180,top
C6,69.364165,-90.6,90,top
C7,66.989165,-88.425,180,top
C8,77.399165,-73.59,180,top
C9,68.764165,-82.95,270,top
D1,78.389165,-77.275,225,top
D2,75.789165,-108.1,180,top
D3,71.264165,-75.425,180,top
D4,75.829165,-109.65,0,top
D5,81.181665,-70.23,180,top
L1,77.089165,-74.5,270,top
Q1,67.884165,-89.9,0,top
R1,75.064165,-72.275,270,top
R10,79.164165,-79.675,225,top
R11,80.289165,-112.6,90,top
R12,78.319711,-78.744454,45,top
R13,78.708619,-79.205545,225,top
R14,75.664165,-72.275,270,top
R15,69.629165,-73.28,180,top
R16,76.739165,-102.55,270,top
R17,75.439165,-107.225,270,top
R18,69.639165,-73.975,180,top
R2,73.564165,-72.275,270,top
R3,81.464165,-72.15,180,top
R4,81.439165,-72.775,0,top
R5,69.389165,-89.375,270,top
R6,71.692737,-77.2,180,top
R7,78.964165,-89.225,0,top
R8,78.964165,-89.9,180,top
R9,77.314165,-77.225,45,top
SW1,73.489165,-102.4,0,top
U1,74.431278,-82.903472,135,top
U2,73.699165,-94.65,90,top
U3,79.914166,-74.575,0,top
U4,79.101665,-102.475,0,top
Y1,79.179165,-93.9125,270,top
J1,74.314165,-66.75,180,top
